Method,Beta,Perf
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9008
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9584
GNN-4,0.2,0.9749
Greedy,0.2,0.9971
SCITE,0.2,1.0
FCNN-3,0.2,0.937
GNN-4,0.2,0.885
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9805
Greedy,0.2,0.9805
SCITE,0.2,1.0
FCNN-3,0.2,0.9328
GNN-4,0.2,1.0
Greedy,0.2,0.9451
SCITE,0.2,1.0
FCNN-3,0.2,0.9901
GNN-4,0.2,1.0
Greedy,0.2,0.9901
SCITE,0.2,1.0
FCNN-3,0.2,0.9583
GNN-4,0.2,0.9316
Greedy,0.2,0.8039
SCITE,0.2,1.0
FCNN-3,0.2,0.9686
GNN-4,0.2,1.0
Greedy,0.2,0.9457
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9279
Greedy,0.2,0.9472
SCITE,0.2,1.0
FCNN-3,0.2,0.9736
GNN-4,0.2,0.6974
Greedy,0.2,0.9346
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9565
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.8741
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9892
GNN-4,0.2,0.9638
Greedy,0.2,0.9892
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9905
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.8216
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.8895
SCITE,0.2,1.0
FCNN-3,0.2,0.9851
GNN-4,0.2,0.9179
Greedy,0.2,0.8959
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.7681
GNN-4,0.2,0.7683
Greedy,0.2,0.7681
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9322
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9822
Greedy,0.2,0.9691
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9958
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9801
Greedy,0.2,0.9801
SCITE,0.2,1.0
FCNN-3,0.2,0.9533
GNN-4,0.2,0.6454
Greedy,0.2,0.9169
SCITE,0.2,1.0
FCNN-3,0.2,0.9725
GNN-4,0.2,1.0
Greedy,0.2,0.9725
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.7692
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9711
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9552
GNN-4,0.2,0.9199
Greedy,0.2,0.9037
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9897
Greedy,0.2,0.8788
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.964
Greedy,0.2,0.9117
SCITE,0.2,1.0
FCNN-3,0.2,0.977
GNN-4,0.2,0.9373
Greedy,0.2,0.9165
SCITE,0.2,1.0
FCNN-3,0.2,0.9291
GNN-4,0.2,0.9096
Greedy,0.2,0.9291
SCITE,0.2,1.0
